n,np,time,parallel_reflect,parallel_absorb,parallel_transmit,parallel_prob_reflect,parallel_prob_absorb,parallel_prob_transmit,
125000000,11,1.120240,54084580,24933715,45981705,0.432677,0.199470,0.367854,
125000000,12,1.025232,54109560,24911916,45978524,0.432876,0.199295,0.367828,
125000000,13,0.946862,54094261,24933675,45972064,0.432754,0.199469,0.367777,
125000000,14,0.879720,54107304,24914736,45977960,0.432858,0.199318,0.367824,
125000000,15,0.820838,54095970,24936885,45967145,0.432768,0.199495,0.367737,
125000000,16,0.771953,54104912,24917424,45977664,0.432839,0.199339,0.367821,
125000000,17,0.724313,54107804,24925468,45966728,0.432862,0.199404,0.367734,
125000000,18,0.683538,51052231,23558685,43444639,0.408418,0.188469,0.347557,
125000000,19,0.648938,51272280,23615916,43532856,0.410178,0.188927,0.348263,
125000000,20,0.616002,51358976,23680460,43710564,0.410872,0.189444,0.349685,
125000000,21,0.586678,51486179,23746800,43814640,0.411889,0.189974,0.350517,
125000000,22,0.560637,51661074,23820615,43836492,0.413289,0.190565,0.350692,
125000000,23,0.536086,51768552,23842676,43953989,0.414148,0.190741,0.351632,
125000000,24,0.514182,51875495,23873839,44042332,0.415004,0.190991,0.352339,
125000000,25,0.493041,51957624,23934312,44108064,0.415661,0.191474,0.352865,
125000000,26,0.474736,51963233,23986125,44242950,0.415706,0.191889,0.353944,
125000000,27,0.457280,52081822,24045450,44243098,0.416655,0.192364,0.353945,
125000000,28,0.440753,52202475,24030073,44303166,0.417620,0.192241,0.354425,
125000000,29,0.426134,52187711,24077032,44424912,0.417502,0.192616,0.355399,
125000000,30,0.411574,52330635,24078642,44424056,0.418645,0.192629,0.355392,
125000000,31,0.398673,52389480,24092070,44486191,0.419116,0.192737,0.355890,
125000000,32,0.385833,52437306,24154890,44501554,0.419498,0.193239,0.356012,
125000000,33,0.372974,52472216,24127200,44612704,0.419778,0.193018,0.356902,
125000000,34,0.362631,52476534,24234559,44612436,0.419812,0.193876,0.356899,
125000000,35,0.352298,52512659,24219696,44696215,0.420101,0.193758,0.357570,
125000000,36,0.342240,52561389,24203550,44762837,0.420491,0.193628,0.358103,
125000000,37,0.333971,52653636,24237120,44730864,0.421229,0.193897,0.357847,
125000000,38,0.325232,52667452,24252649,44790423,0.421340,0.194021,0.358323,
125000000,39,0.317012,52708698,24286225,44799947,0.421670,0.194290,0.358400,
125000000,40,0.311394,52732562,24273639,44868798,0.421860,0.194189,0.358950,
125000000,41,0.301323,52746040,24335640,44869539,0.421968,0.194685,0.358956,
125000000,42,0.294568,52801235,24359412,44863161,0.422410,0.194875,0.358905,
125000000,43,0.287824,52842930,24364061,44886030,0.422743,0.194912,0.359088,
125000000,44,0.280524,52894388,24305234,44959467,0.423155,0.194442,0.359676,
125000000,45,0.274707,52868321,24390212,44963688,0.422947,0.195122,0.359710,
125000000,46,0.269556,52908210,24412454,44961943,0.423266,0.195300,0.359696,
125000000,47,0.263322,52962627,24435429,44942368,0.423701,0.195483,0.359539,
125000000,48,0.257870,52861041,24497229,45037562,0.422888,0.195978,0.360300,
125000000,49,0.252673,53000016,24433363,45015599,0.424000,0.195467,0.360125,
125000000,50,0.248222,53009719,24453352,45036928,0.424078,0.195627,0.360295,
125000000,51,0.242690,53026049,24405118,45117850,0.424208,0.195241,0.360943,
125000000,52,0.238580,52050400,23943000,44198906,0.416403,0.191544,0.353591,
125000000,53,0.234256,52071102,23976579,44235337,0.416569,0.191813,0.353883,
125000000,54,0.229829,52150633,23932896,44286840,0.417205,0.191463,0.354295,
125000000,55,0.225411,52079708,23980857,44393979,0.416638,0.191847,0.355152,
125000000,56,0.222581,52060860,24057432,44417421,0.416487,0.192459,0.355339,
125000000,57,0.217290,52136505,24054800,44422729,0.417092,0.192438,0.355382,
125000000,58,0.215040,52304806,24050488,44334360,0.418438,0.192404,0.354675,
125000000,59,0.210962,52253842,24127188,44381681,0.418031,0.193018,0.355053,
125000000,60,0.207572,52346739,24092446,44394147,0.418774,0.192740,0.355153,
125000000,61,0.204898,52250950,24174365,44476323,0.418008,0.193395,0.355811,
125000000,62,0.201343,52356781,24118859,44492100,0.418854,0.192951,0.355937,
125000000,63,0.198270,52401437,24188391,44441916,0.419211,0.193507,0.355535,
125000000,64,0.195151,52407112,24145280,44541358,0.419257,0.193162,0.356331,
150000000,1,14.964344,64896380,29918860,55184760,0.432643,0.199459,0.367898,
150000000,2,7.445361,64897842,29917072,55185086,0.432652,0.199447,0.367901,
150000000,3,4.931601,64900143,29899860,55199997,0.432668,0.199332,0.368000,
150000000,4,3.702519,64921680,29909884,55168436,0.432811,0.199399,0.367790,
150000000,5,2.965886,64904855,29900760,55194385,0.432699,0.199338,0.367963,
150000000,6,2.470786,64915038,29919426,55165536,0.432767,0.199463,0.367770,
150000000,7,2.113655,64891298,29919309,55189393,0.432609,0.199462,0.367929,
150000000,8,1.851436,64927592,29894240,55178168,0.432851,0.199295,0.367854,
150000000,9,1.642629,64879488,29933367,55187145,0.432530,0.199556,0.367914,
150000000,10,1.478551,64894590,29921600,55183810,0.432631,0.199477,0.367892,
150000000,11,1.348980,64904891,29914214,55180895,0.432699,0.199428,0.367873,
150000000,12,1.233937,64915632,29909352,55175016,0.432771,0.199396,0.367833,
150000000,13,1.136059,64883962,29910712,55205326,0.432560,0.199405,0.368036,
150000000,14,1.056946,64898176,29906226,55195598,0.432655,0.199375,0.367971,
150000000,15,0.991339,60566856,27895756,51537388,0.403779,0.185972,0.343583,
150000000,16,0.927326,60866310,28037010,51721680,0.405775,0.186913,0.344811,
150000000,17,0.868554,61087792,28121776,51966901,0.407252,0.187479,0.346446,
150000000,18,0.821186,61333897,28252147,52080622,0.408893,0.188348,0.347204,
150000000,19,0.777078,61488594,28326240,52290428,0.409924,0.188842,0.348603,
150000000,20,0.739342,61641092,28433348,52425560,0.410941,0.189556,0.349504,
150000000,21,0.704275,61820703,28467860,52568580,0.412138,0.189786,0.350457,
150000000,22,0.671778,61935531,28553343,52692943,0.412904,0.190356,0.351286,
150000000,23,0.642590,62097686,28569486,52811088,0.413985,0.190463,0.352074,
150000000,24,0.615893,62175969,28658552,52915479,0.414506,0.191057,0.352770,
150000000,25,0.591690,62305728,28730448,52963824,0.415372,0.191536,0.353092,
150000000,26,0.569096,62426319,28745200,53059250,0.416175,0.191635,0.353728,
150000000,27,0.547926,62489102,28814006,53141336,0.416594,0.192093,0.354276,
150000000,28,0.528827,62552412,28904927,53185518,0.417016,0.192700,0.354570,
150000000,29,0.509890,62643609,28870072,53313904,0.417624,0.192467,0.355426,
150000000,30,0.493774,62707540,28902241,53390218,0.418050,0.192682,0.355935,
